"","name","street","city"
"188","Kooky Canuck","87 S 2nd St","Memphis, TN, 38103"
"189","McDonald's","3845 E Shelby Dr","Memphis, TN, 38118"
"190","Taco Bell","4330 Elvis Presley Blvd","Memphis, TN, 38116"
"191","KFC","869 S 3rd St","Memphis, TN, 38106"
"192","McDonald's","5084 Summer Ave","Memphis, TN, 38122"
"193","Mesquite Chop House","88 Union Avenue","Memphis, TN, 38103"
"194","McDonald's","3149 Thomas St","Memphis, TN, 38127"
"195","McDonald's","2073 Union Ave","Memphis, TN, 38104"
"196","Wendy's","749 S Highland St","Memphis, TN, 38111"
"197","Tops Bar-B-Q","1286 Union Avenue","Memphis, TN, 38104"
"198","KFC","4549 Elvis Presley Blvd","Memphis, TN, 38116"
"199","Chick-fil-A","4916 Poplar Ave","Memphis, TN, 38117"
"200","Wendy's","5541 Poplar Ave","Memphis, TN, 38119"
"201","McDonald's","1666 Winchester Rd","Memphis, TN, 38116"
"202","McDonald's","2994 Poplar Ave","Memphis, TN, 38111"
"203","McDonald's","2200 Covington Pike","Memphis, TN, 38128"
"204","Wendy's","2180 Covington Pike","Memphis, TN, 38128"
"205","McDonald's","4657 Quince Rd","Memphis, TN, 38117"
"206","McDonald's","1861 S 3rd St","Memphis, TN, 38109"
"207","McDonald's","4210 Summer Ave","Memphis, TN, 38122"
"208","McDonald's","3377 Winchester Rd","Memphis, TN, 38118"
"209","Bosses","5030 Poplar Ave","Memphis, TN, 38117"
"210","McDonald's","6050 Winchester Rd","Memphis, TN, 38115"
"211","Chick-fil-A","2849 N Germantown Pkwy","Memphis, TN, 38133"
"212","McDonald's","3636 South Mendenhall Road","Memphis, TN, 38115"
"213","Curry Bowl Indian Cuisine","4141 Hacks Cross Rd, Ste 101","Memphis, TN, 38125"
"214","Wendy's","4605 Poplar Ave","Memphis, TN, 38117"
"215","Restaurant Iris","2146 Monroe Avenue","Memphis, TN, 38104"
"216","Chick-fil-A","4465 Poplar Ave Ste FS03","Memphis, TN, 38117"
